Klaviyo 2026 New Hire & Bonus Tables,,,,,,,,,,,,,
See table below for Pilot R&D ranges,,,,,,,,,,,,,
,TIER 1 - US,,,,,,,,,,,,
,Level,Bonus Target %,R&D,,,,G&A,,,,GTM,,
,,,Eng,ML,Design,Product,IT,People,Finance,Legal,Marketing,CS,Sales
,L6 (110),25%,"$1,125,000","$3,000,000","$900,000","$900,000","$825,000","$600,000","$600,000","$675,000","$600,000","$525,000","$525,000"
,L5 (120),20%,"$750,000","$1,900,000","$600,000","$600,000","$435,000","$300,000","$300,000","$405,000","$300,000","$270,000","$270,000"
,L4 (130),15%,"$300,000","$1,200,000","$250,000","$250,000","$180,000","$110,000","$110,000","$190,000","$130,000","$110,000","$110,000"
,L3 (140),15%,"$220,000","$800,000","$170,000","$170,000","$110,000","$70,000","$70,000","$120,000","$80,000","$70,000","$70,000"
,L2 (150),10%,"$140,000","$525,000","$110,000","$110,000","$70,000","$50,000","$50,000","$60,000","$50,000","$50,000","$50,000"
,L1 (160),10%,"$90,000","$400,000","$70,000","$70,000","$50,000","$36,000","$36,000","$40,000","$36,000","$36,000","$36,000"
,L0 (170),10%,"$80,000","$170,000","$40,000","$40,000","$30,000","$20,000","$20,000","$20,000","$20,000","$20,000","$20,000"
,*2026 updated grant,,,,,,,,,,,,
,"TIER 2 - UK, Australia, Ireland, Singapore, France, Germany, Canada",,,,,,,,,,,,
,Level,Bonus Target %,R&D,,,,G&A,,,,GTM,,
,,,Eng,ML,Design,Product,IT,People,Finance,Legal,Marketing,CS,Sales
,L6 (110),25%,"$843,750","$2,250,000","$675,000","$675,000","$618,750","$450,000","$450,000","$506,250","$450,000","$393,750","$393,750"
,L5 (120),20%,"$562,500","$1,425,000","$450,000","$450,000","$326,250","$225,000","$225,000","$303,750","$225,000","$202,500","$202,500"
,L4 (130),15%,"$225,000","$900,000","$187,500","$187,500","$135,000","$82,500","$82,500","$142,500","$97,500","$82,500","$82,500"
,L3 (140),15%,"$165,000","$600,000","$127,500","$127,500","$82,500","$52,500","$52,500","$90,000","$60,000","$52,500","$52,500"
,L2 (150),10%,"$105,000","$393,750","$82,500","$82,500","$52,500","$37,500","$37,500","$45,000","$37,500","$37,500","$37,500"
,L1 (160),10%,"$67,500","$300,000","$52,500","$52,500","$37,500","$27,000","$27,000","$30,000","$27,000","$27,000","$27,000"
,L0 (170),10%,"$60,000","$127,500","$30,000","$30,000","$22,500","$15,000","$15,000","$15,000","$15,000","$15,000","$15,000"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Commission Split Calculator,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Pilot R&D Equity Ranges - Tier 1 - US,,,,,,,,,,,,
,,Eng / Data Science (formerly Prod. Analytics),,,PM / TPM,,,,,,,,
,,Min,Mid,Max,Min,Mid,Max,Eng %,Prod %,,,,
,L6,"$562,500","$1,125,000","$1,687,500","$630,000","$900,000","$1,170,000",0.5,0.3,,,,
,L5,"$525,000","$750,000","$975,000","$360,000","$600,000","$840,000",0.3,0.4,,,,
,L4,"$225,000","$300,000","$375,000","$187,500","$250,000","$312,500",0.25,0.25,,,,
,L3,"$176,000","$220,000","$264,000","$153,000","$170,000","$187,000",0.2,0.1,,,,
,L2,"$126,000","$140,000","$154,000","$99,000","$110,000","$121,000",0.1,0.1,,,,
,L1,"$81,000","$90,000","$99,000","$63,000","$70,000","$77,000",0.1,0.1,,,,
,L0,"$60,000","$60,000","$60,000","$40,000","$40,000","$40,000",0,0,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
